communication_mode,communication_with_audience,content_country,decision_method,end_date,facetoface_online_or_both,facilitated,id,issue,kind_of_influence,location,number_of_meeting_days,ongoing,original_language,participant_selection,post_date,published,specific_topic,staff_type,start_date,targeted_audience,targeted_participant_demographic,targeted_participants_public_role,total_number_of_participants,type_of_funding_entity,typical_implementing_entity,typical_sponsoring_entity,updated_date,voting,who_else_supported_the_initiative,who_was_primarily_responsible_for_organizing_the_initiative
Discussion,Policy Recommendations,Iceland,Getting sense of room/group (i.e. no formal voting),2009-11-14T20:00:00,facetoface,Yes,62,Budgeting,Community building (e.g. social capital),62,1,No,en,Random Selection,2010-12-01T05:59:29,Yes,Comprehensive Long-term National Development,Trained Moderators,2009-11-14T08:00:00,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",1500,National Government,Community Based Organization,Community Based Organization,2016-06-03T22:34:38,none,,
or Deliberation,Policy Recommendations,United States,Opinion Survey,2002-08-12T17:00:00,both,Yes,63,"Planning (e.g. Urban planning, Transportation, etc.)",Community building (e.g. social capital),63,,No,en,Open to all,2010-12-02T12:15:33,Yes,Disaster Recovery,Facilitators,2002-02-07T17:00:00,"Organized Groups (e.g. NGOs, Business Associations)",General Public,Elected Public Official,5000,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-05-24T23:34:44,none,New School University Milano Graduate School,788
or Deliberation,Public Hearings/Meetings,United States,Opinion Survey,2008-03-16T17:00:00,facetoface,Yes,64,Community Development,Consultation (i.e. to advise decision makers),64,2,No,en,Random Selection,2010-12-03T06:19:13,Yes,Housing Demand/Supply,Mediator,2008-03-15T09:00:00,Elected Public Official,General Public,Lay Public,238,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Academic Institution,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2016-05-25T16:14:00,none,,318
Dialogue,"New Media (i.e. internet, texting, etc)",Canada,Getting sense of room/group (i.e. no formal voting),2011-09-12T17:00:00,facetoface,Yes,65,Human Rights,Raise public awareness,65,3,Yes,en,Open to all with targeted recruitment,2010-12-06T14:28:05,Yes,Civil Society,CIVICUS moderators,2011-09-10T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2016-06-03T18:28:15,none,,328
or Deliberation,,Canada,Getting sense of room/group (i.e. no formal voting),2009-08-31T17:00:00,both,Yes,66,Health,Raise public awareness,66,,No,en,Open to all with targeted recruitment,2010-12-07T12:38:26,Yes,Long-term Health Care Policy Planning,Advisory Committee Chairmen,2008-05-31T17:00:00,Elected Public Official,People with Disabilities,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",2500,"Regional Government (e.g. State, Provincial, Territorial)",National Government,Community Based Organization,2016-06-02T21:34:28,none,Advisory Committees,
Express opinions/preferences only,Public Hearings/Meetings,United Kingdom,Voting,2010-10-29T17:00:00,facetoface,Yes,67,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,67,1,No,en,Election,2010-12-07T13:07:33,Yes,Civic Engagement and Citizenship Education,Youth Workers to the MYPS,2010-10-29T09:15:00,General Public,Youth,Lay Public,300,National Government,National Government,National Government,2016-06-03T18:15:31,majority,,257
Express opinions/preferences only,Policy Recommendations,France,Not Applicable,2008-03-31T17:00:00,both,No,68,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)","Develop individual capacities (e.g. skills, learning)",68,,No,en,Appointment,2010-12-07T13:56:24,Yes,Public Participation,,2005-04-01T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,International Organization,Other,For Profit Business,2016-06-01T22:29:08,none,INRA,740
Discussion,Public Hearings/Meetings,Belgium,Opinion Survey,2007-10-14T17:00:00,facetoface,Yes,69,International Trade &amp; Global Economy,Community building (e.g. social capital),69,2,No,en,Random Selection,2010-12-07T14:39:23,Yes,Pension System,Trained Moderators,2007-10-12T17:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,362,International Organization,Non-Governmental Organization (Non-profit),National Government,2016-05-20T22:56:44,none,,4388
or Deliberation,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),2009-03-30T17:00:00,facetoface,Yes,70,Economic Development,Consultation (i.e. to advise decision makers),70,4,No,en,Open to all with targeted recruitment,2010-12-07T15:48:48,Yes,Sustainable Development,Coordinating Team,2008-10-22T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Elected Public Official,,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),Individual,2016-06-03T17:49:36,none,San Francisco Mayor Newsom,4411
or Deliberation,Public Hearings/Meetings,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,71,Criminal Justice,Collaborative delivery of services with public authorities,71,,Yes,en,Open to all,2010-12-07T16:19:14,Yes,Community Capacity-building,,,Other,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",2016-06-01T22:55:36,none,,783
Discussion,Public Hearings/Meetings,Canada,Getting sense of room/group (i.e. no formal voting),,both,Yes,72,Health,Consultation (i.e. to advise decision makers),72,,No,en,Random Selection,2010-04-10T00:12:13,Yes,Healthcare Spending Priorities,,,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",2016-07-06T22:25:52,none,,
Dialogue,Policy Recommendations,Bolivia,Opinion Survey,,facetoface,No,73,Economic Development,Community building (e.g. social capital),73,,No,en,Appointment,2010-12-07T18:44:41,Yes,Government Transparency and Public Participation in all Issue Areas,,,General Public,General Public,Lay Public,,National Government,Other,Community Based Organization,2016-06-01T22:11:20,none,,
or Deliberation,Policy Recommendations,Indonesia,Voting,,facetoface,No,74,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Make public decisions (i.e. exert direct authority),74,,No,en,Random Selection,2010-12-07T19:14:29,Yes,direct democracy,,,Elected Public Official,General Public,Lay Public,,Academic Institution,"Local Government (e.g. Village, Town, City)",National Government,2016-06-02T21:53:01,none,,
No interaction among participants,"New Media (i.e. internet, texting, etc)",United States,Not Applicable,,online,No,75,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Other,75,,Yes,en,Open to all,2010-12-07T20:31:43,Yes,government transparency,All governmental agencies,2009-12-08T16:00:00,Elected Public Official,General Public,Lay Public,,National Government,National Government,National Government,2016-06-03T15:06:00,none,,
or Deliberation,Public Hearings/Meetings,Czech Republic,Not Applicable,,facetoface,Yes,76,Education &amp; Schools,"Develop individual capacities (e.g. skills, learning)",76,,Yes,en,Open to all with targeted recruitment,2010-12-08T01:00:58,Yes,Civic Engagement and Citizenship Education,administrators,,Other,Youth,Other,,Individual,Academic Institution,Academic Institution,2016-06-02T22:08:41,none,,
Dialogue,Policy Recommendations,United Kingdom,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,77,"Planning (e.g. Urban planning, Transportation, etc.)",Collaborative delivery of services with public authorities,77,,Yes,en,Open to all,2010-08-20T02:54:13,Yes,Municipal Participatory Planning,facilitators,2003-02-11T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-06-04T16:27:37,none,,
Discussion,Public Hearings/Meetings,United States,Opinion Survey,2007-01-20T17:00:00,both,Yes,78,Economic Development,Collaborative delivery of services with public authorities,78,,No,en,Open to all with targeted recruitment,2010-12-08T04:03:16,Yes,Disaster Recovery,,2006-04-20T17:00:00,General Public,General Public,Elected Public Official,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),2016-05-21T15:34:19,none,the City Council’s Neighborhood Planning Initiative,199
Other,Policy Recommendations,South Africa,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,79,Economic Development,Consultation (i.e. to advise decision makers),79,,Yes,en,Open to all,2010-12-13T13:58:05,Yes,Participatory Urban Regeneration,City staff,,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",2016-06-01T16:01:29,none,,
Other,Other,United Kingdom,Not Applicable,,facetoface,Yes,80,Community Development,"Develop individual capacities (e.g. skills, learning)",80,,No,en,Open to all with targeted recruitment,2011-02-22T23:56:42,Yes,Homelessness,Paid Staff,,General Public,Other,Lay Public,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Community Based Organization,Individual,2016-06-25T22:04:08,none,,
or Deliberation,Public Hearings/Meetings,United States,Voting,,facetoface,No,81,Education &amp; Schools,Co-governance (i.e. to share decision making with public authorities),81,,Yes,en,Election,2011-03-05T00:16:36,Yes,education reform,,,Other,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",2016-06-01T15:13:13,none,,
Dialogue,Policy Recommendations,Spain,Not Applicable,,both,Yes,82,Economic Development,Co-governance (i.e. to share decision making with public authorities),82,,Yes,en,Open to all with targeted recruitment,2011-03-05T00:28:29,Yes,Participatory/Co-operative Governance,CEO,,"Organized Groups (e.g. NGOs, Business Associations)",Other,Other,92773,Other,Other,Other,2016-06-01T15:28:42,none,,
Dialogue,Public Hearings/Meetings,Rwanda,Voting,,facetoface,Yes,83,Law Enforcement,Make public decisions (i.e. exert direct authority),83,,Yes,en,Election,2011-04-25T21:57:12,Yes,Post-genocide community justice and reconciliation,Judges; participant witnesses,2001-01-26T09:00:00,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,National Government,"Local Government (e.g. Village, Town, City)",National Government,2016-05-31T20:00:20,consensus,,
Dialogue,"New Media (i.e. internet, texting, etc)",United Kingdom,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,84,Health,Consultation (i.e. to advise decision makers),84,,Yes,en,Open to all,2011-04-27T01:22:37,Yes,Health Care Policy and Service,,2009-01-21T17:00:00,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",2016-05-31T19:09:16,none,,
Dialogue,Policy Recommendations,United Kingdom,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,85,Aging,Make public decisions (i.e. exert direct authority),85,,No,en,Open to all with targeted recruitment,2011-04-27T01:48:33,Yes,Old Age,,2011-02-23T09:00:00,Appointed Public Servants (e.g. bureaucrats),Eldlerly,Lay Public,,"Regional Government (e.g. State, Provincial, Territorial)",Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-08-22T16:22:09,majority,,782
Other,Policy Recommendations,Canada,Not Applicable,,facetoface,No,86,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),86,,Yes,en,Open to all,2011-05-07T01:41:52,Yes,rural issues,,2011-05-05T17:00:00,General Public,General Public,Lay Public,,Individual,Individual,Individual,2016-05-30T22:31:11,none,,
Dialogue,Public Hearings/Meetings,Italy,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,87,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),87,9,No,en,Random Selection,2011-05-19T01:33:34,Yes,Sustainable Development,Professional,,General Public,General Public,Lay Public,,"Regional Government (e.g. State, Provincial, Territorial)",Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-05-30T22:27:14,none,,4371
Dialogue,Policy Recommendations,Brazil,Getting sense of room/group (i.e. no formal voting),,both,No,88,Budgeting,Co-governance (i.e. to share decision making with public authorities),88,,Yes,en,Election,2011-05-25T01:49:52,Yes,Municipal Participatory Budgeting,Paid and Volunteer,,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-30T22:06:42,preferential,,
Dialogue,Policy Recommendations,Italy,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,89,Identity &amp; Diversity,Raise public awareness,89,,No,en,Open to all with targeted recruitment,2011-05-26T19:52:49,Yes,Social and Cultural Integration,social,,General Public,Racial/Ethnic Group(s),"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",900,"Regional Government (e.g. State, Provincial, Territorial)",Community Based Organization,"Local Government (e.g. Village, Town, City)",2016-05-30T16:04:48,none,,
Discussion,Public Hearings/Meetings,Italy,Opinion Survey,2009-04-25T15:00:00,both,Yes,90,Health,Other,90,1,No,en,Other,2011-05-26T20:18:48,Yes,Deliberative Democracy Showcase,social,2009-04-25T09:00:00,Elected Public Official,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Non-Governmental Organization (Non-profit),Other,2016-05-30T15:42:37,none,,784
